Unique ID,Sample Date,Latitude (degree),Longitude (degree),Subregion,Water Sample Depth (m),Sampling Method,Mesh Size (mm),Microplastics Measurement,Unit,Concentration Class,Short Reference,DOI,Organization,Year,Month,Season,Log Microplastics Measurement
0270530-0000081,2014-09-13 05:00:00,37.8437,4.071,Western Basin,0.16,Manta net,0.333,2.637231,pieces/m3,High,Pedrotti et al. 2022,https://doi.org/10.1016/j.scitotenv.2022.155958,Sorbonne Universités,2014,9,Autumn,1.2912226778730007
0276422-0001134,2024-08-01 05:00:00,37.358166,-1.6135,Western Basin,0.0,Manta net,0.33,0.46562,pieces/m3,Medium,Unpublished,https://doi.org/10.25921/d1bs-3m40,"Oceaneye Association,  Switzerland",2024,8,Summer,0.3822783611328286
0276422-0000040,2013-08-13 05:00:00,42.245,5.27,Western Basin,0.0,Manta net,0.33,0.132708,pieces/m3,Medium,Unpublished,https://doi.org/10.25921/d1bs-3m40,"Oceaneye Association,  Switzerland",2013,8,Summer,0.12461122596996127
0276422-0000358,2018-07-23 05:00:00,43.090667,6.5825,Western Basin,0.0,Manta net,0.33,0.021867,pieces/m3,Medium,Unpublished,https://doi.org/10.25921/d1bs-3m40,"Oceaneye Association,  Switzerland",2018,7,Summer,0.021631346326658998
0260245-0000035,2014-01-19 06:00:00,32.903333,35.071,Eastern Basin,0.1,Manta net,0.333,0.484765,pieces/m3,Medium,Hal et al. 2017,https://doi.org/10.1016/j.marpolbul.2016.12.052,"University of Haifa, Israel",2014,1,Winter,0.3952565105736946
0276422-0000884,2022-10-16 05:00:00,41.686165,8.769,Western Basin,0.0,Manta net,0.33,0.008011,pieces/m3,Medium,Unpublished,https://doi.org/10.25921/d1bs-3m40,"Oceaneye Association,  Switzerland",2022,10,Autumn,0.007979082288046512
0275968-0000395,2010-07-21 05:00:00,42.6225,8.6588,Western Basin,0.0,Neuston net,0.33,2.014904,pieces/m3,High,Eriksen et al. 2014,https://doi.org/10.1371/journal.pone.0111913,5 Gyres Institute,2010,7,Summer,1.1035679888762
0276422-0000626,2020-11-08 06:00:00,37.9775,12.359833,Tyrrhenian Sea,0.0,Manta net,0.33,1.127342,pieces/m3,High,Unpublished,https://doi.org/10.25921/d1bs-3m40,"Oceaneye Association,  Switzerland",2020,11,Autumn,0.7548733131376505
0270530-0000029,2014-07-11 05:00:00,38.7068,13.2211,Tyrrhenian Sea,0.16,Manta net,0.333,0.095424,pieces/m3,Medium,Pedrotti et al. 2022,https://doi.org/10.1016/j.scitotenv.2022.155958,Sorbonne Universités,2014,7,Summer,0.0911415029321052
0259524-0000010,2014-10-13 05:00:00,39.497,20.126,Ionian Sea,0.0,Manta net,0.333,4.16,pieces/m3,High,Adamopoulou et al. 2021,https://doi.org/10.3389/fmars.2021.699000,"Hellenic Centre for Marine Research, Greece",2014,10,Autumn,1.6409365794934714
0270530-0000104,2014-10-13 05:00:00,40.8604,13.024,Tyrrhenian Sea,0.16,Manta net,0.333,0.947126,pieces/m3,Medium,Pedrotti et al. 2022,https://doi.org/10.1016/j.scitotenv.2022.155958,Sorbonne Universités,2014,10,Autumn,0.6663544392422117
0260245-0000015,2013-08-26 05:00:00,31.7495,34.5525,Eastern Basin,0.1,Manta net,0.333,0.854621,pieces/m3,Medium,Hal et al. 2017,https://doi.org/10.1016/j.marpolbul.2016.12.052,"University of Haifa, Israel",2013,8,Summer,0.6176803625162582
