Unique ID,Sample Date,Latitude (degree),Longitude (degree),Subregion,Water Sample Depth (m),Sampling Method,Mesh Size (mm),Microplastics Measurement,Unit,Concentration Class,Short Reference,DOI,Organization,ObjectId,x,y
0270530-0000081,9/13/2014 5:00:00 AM,37.8437,4.071,Western Basin,0.16,Manta net,0.333,2.637231,pieces/m3,High,Pedrotti et al. 2022,https://doi.org/10.1016/j.scitotenv.2022.155958,Sorbonne Universités,11004,453181.647019417,4557369.33382728
0276422-0001134,8/1/2024 5:00:00 AM,37.358166,-1.6135,Western Basin,0,Manta net,0.33,0.46562,pieces/m3,Medium,Unpublished,https://doi.org/10.25921/d1bs-3m40,"Oceaneye Association,  Switzerland",22672,-179613.998394947,4489148.79165952
0276422-0000040,8/13/2013 5:00:00 AM,42.245,5.27,Western Basin,0,Manta net,0.33,0.132708,pieces/m3,Medium,Unpublished,https://doi.org/10.25921/d1bs-3m40,"Oceaneye Association,  Switzerland",21747,586653.716480552,5197750.20053079
0276422-0000358,7/23/2018 5:00:00 AM,43.090667,6.5825,Western Basin,0,Manta net,0.33,0.021867,pieces/m3,Medium,Unpublished,https://doi.org/10.25921/d1bs-3m40,"Oceaneye Association,  Switzerland",22340,732760.548146723,5325782.48693995
0260245-0000035,1/19/2014 6:00:00 AM,32.903333,35.071,Eastern Basin,0.1,Manta net,0.333,0.484765,pieces/m3,Medium,Hal et al. 2017,https://doi.org/10.1016/j.marpolbul.2016.12.052,"University of Haifa, Israel",11242,3904085.8616109,3882480.05385032
0276422-0000884,10/16/2022 5:00:00 AM,41.686165,8.769,Western Basin,0,Manta net,0.33,0.008011,pieces/m3,Medium,Unpublished,https://doi.org/10.25921/d1bs-3m40,"Oceaneye Association,  Switzerland",22720,976160.614766216,5114083.79686786
0275968-0000395,7/21/2010 5:00:00 AM,42.6225,8.6588,Western Basin,0,Neuston net,0.33,2.014904,pieces/m3,High,Eriksen et al. 2014,https://doi.org/10.1371/journal.pone.0111913,5 Gyres Institute,11359,963893.206880797,5254687.88015421
0276422-0000626,11/8/2020 6:00:00 AM,37.9775,12.359833,Tyrrhenian Sea,0,Manta net,0.33,1.127342,pieces/m3,High,Unpublished,https://doi.org/10.25921/d1bs-3m40,"Oceaneye Association,  Switzerland",22056,1375890.3158499,4576247.80490209
0270530-0000029,7/11/2014 5:00:00 AM,38.7068,13.2211,Tyrrhenian Sea,0.16,Manta net,0.333,0.095424,pieces/m3,Medium,Pedrotti et al. 2022,https://doi.org/10.1016/j.scitotenv.2022.155958,Sorbonne Universités,11574,1471766.11972695,4679759.78513618
0259524-0000010,10/13/2014 5:00:00 AM,39.497,20.126,Ionian Sea,0,Manta net,0.333,4.16,pieces/m3,High,Adamopoulou et al. 2021,https://doi.org/10.3389/fmars.2021.699000,"Hellenic Centre for Marine Research, Greece",10695,2240416.07170542,4793114.66928351
0270530-0000104,10/13/2014 5:00:00 AM,40.8604,13.024,Tyrrhenian Sea,0.16,Manta net,0.333,0.947126,pieces/m3,Medium,Pedrotti et al. 2022,https://doi.org/10.1016/j.scitotenv.2022.155958,Sorbonne Universités,11027,1449825.04809159,4991772.45048563
0260245-0000015,8/26/2013 5:00:00 AM,31.7495,34.5525,Eastern Basin,0.1,Manta net,0.333,0.854621,pieces/m3,Medium,Hal et al. 2017,https://doi.org/10.1016/j.marpolbul.2016.12.052,"University of Haifa, Israel",10223,3846366.70563459,3730473.33965936
0277995-0000006,10/18/2020 5:00:00 AM,40.017222,17.885278,Ionian Sea,0,Manta net,0.3,0.497203,pieces/m3,Medium,Trani et al. 2023,https://doi.org/10.1016/j.envpol.2022.120702,"International Centre for Advanced Mediterranean Agronomic Studies (CIHEAM) of Bari, Italy",13211,1990980.03965614,4868445.24930533
0270528-0000003,3/15/2019 5:00:00 AM,37.912383,23.68495,Aegean Sea,0,Manta net,0.33,0.345238,pieces/m3,Medium,Tsiaras et al. 2022,https://doi.org/10.3389/fmars.2022.784937,"Hellenic Centre for Marine Research, Greece",11050,2636596.57346414,4567055.85250207
0253140-0000013,3/24/2015 5:00:00 AM,36.656667,-2.698333,Alboran Sea,0,Manta net,0.335,0.164,pieces/m3,Medium,de Haan et al. 2019,https://doi.org/10.1016/j.marpolbul.2019.01.053,University of Barcelona,10386,-300377.055550686,4391358.03344687
0275968-0000381,7/11/2010 5:00:00 AM,44.2934,9.2035,Ligurian Sea,0,Neuston net,0.33,8.030516,pieces/m3,High,Eriksen et al. 2014,https://doi.org/10.1371/journal.pone.0111913,5 Gyres Institute,11219,1024528.93351589,5510959.34455574
0276422-0000976,4/19/2023 5:00:00 AM,40.654999,0.8475,Balearic Sea,0,Manta net,0.33,0.536906,pieces/m3,Medium,Unpublished,https://doi.org/10.25921/d1bs-3m40,"Oceaneye Association,  Switzerland",22125,94343.2684472994,4961586.50773553
0270528-0000025,4/2/2019 5:00:00 AM,44.29785,9.149569,Ligurian Sea,0,Manta net,0.1,0.238095,pieces/m3,Medium,Tsiaras et al. 2022,https://doi.org/10.3389/fmars.2022.784937,"Hellenic Centre for Marine Research, Greece",11073,1018525.36205792,5511651.44998413
0277995-0000018,6/28/2021 5:00:00 AM,40.221389,18.566667,Adriatic Sea,0,Manta net,0.3,0.365369,pieces/m3,Medium,Trani et al. 2023,https://doi.org/10.1016/j.envpol.2022.120702,"International Centre for Advanced Mediterranean Agronomic Studies (CIHEAM) of Bari, Italy",13397,2066831.91616828,4898166.27333743
0270530-0000061,8/22/2014 5:00:00 AM,34.7206,24.2273,Eastern Basin,0.16,Manta net,0.333,0.203404,pieces/m3,Medium,Pedrotti et al. 2022,https://doi.org/10.1016/j.scitotenv.2022.155958,Sorbonne Universités,11860,2696970.69929588,4125976.32674701
0253450-0000072,6/22/2013 5:00:00 AM,38.3797,9.52133,Western Basin,0,Neuston net,0.2,1.702191,pieces/m3,High,Suaria et al. 2016,https://doi.org/10.1038/srep37551,"Institute of Marine Sciences – National Research Council, Italy",10764,1059909.60727472,4633204.42475237
0276422-0000007,9/11/2011 5:00:00 AM,39.753333,7.79,Western Basin,0,Manta net,0.33,0.137465,pieces/m3,Medium,Faure et al. 2015,https://doi.org/10.1007/s11356-015-4453-3,"Oceaneye Association,  Switzerland",21584,867178.833279601,4830161.7816744
0276422-0000805,10/6/2022 5:00:00 AM,39.500832,3.397167,Balearic Sea,0,Manta net,0.33,3.591314,pieces/m3,High,Unpublished,https://doi.org/10.25921/d1bs-3m40,"Oceaneye Association,  Switzerland",22171,378170.900579713,4793667.48945723
0314180-0000031,5/27/2013 5:00:00 AM,39.829,12.5142,Tyrrhenian Sea,0.25,Neuston net,0.2,0.302,pieces/m3,Medium,Cózar et al. 2015,https://doi.org/10.1371/journal.pone.0121762,"Universidad de Cádiz, Spain",23576,1393074.37168518,4841124.05193999
0270528-0000052,6/24/2019 5:00:00 AM,43.253077,5.361748,Western Basin,0,Manta net,0.33,0.139752,pieces/m3,Medium,Tsiaras et al. 2022,https://doi.org/10.3389/fmars.2022.784937,"Hellenic Centre for Marine Research, Greece",11102,596867.057121853,5350572.42404572
0314559-0000019,12/12/2011 6:00:00 AM,42.5855,8.7295,Western Basin,0.2,Plankton net,0.2,0.02,pieces/m3,Medium,Collignon et al. 2014,https://doi.org/10.1016/j.marpolbul.2013.11.023,"University of Liège, Belgium",23837,971763.494879882,5249092.0343548
0279323-0000012,6/9/2019 5:00:00 AM,43.015317,9.977433,Tyrrhenian Sea,0,Manta net,0.33,45.836225,pieces/m3,Very High,Caldwell et al. 2020,https://doi.org/10.1016/j.marpolbul.2020.111515,"University of Fribourg, Switzerland",20327,1110682.760984,5314303.54120387
0276422-0000986,6/16/2023 5:00:00 AM,42.592499,9.562834,Tyrrhenian Sea,0,Manta net,0.33,3.228075,pieces/m3,High,Unpublished,https://doi.org/10.25921/d1bs-3m40,"Oceaneye Association,  Switzerland",22248,1064529.8114206,5250150.30182568
0279323-0000003,6/4/2019 5:00:00 AM,41.812033,9.435417,Tyrrhenian Sea,0,Manta net,0.33,0.48175,pieces/m3,Medium,Caldwell et al. 2020,https://doi.org/10.1016/j.marpolbul.2020.111515,"University of Fribourg, Switzerland",20250,1050345.8158622,5132864.35287756
0270530-0000054,8/15/2014 5:00:00 AM,33.7346,32.7224,Eastern Basin,0.16,Manta net,0.333,0.036978,pieces/m3,Medium,Pedrotti et al. 2022,https://doi.org/10.1016/j.scitotenv.2022.155958,Sorbonne Universités,11789,3642640.90553381,3993220.71939637
