Strategy,Random State,Samples Used,Log MAE,Log RMSE,Log R2,Original MAE,Original RMSE,Original R2
random,42,30,0.4839253648852871,0.6441473729383458,-0.20308318422750338,1.3574588580692513,3.2503602017382325,0.01425205870334012
random,42,40,0.468629774399614,0.6368723193813788,-0.1760612036484166,1.3341974732286725,3.250952947595717,0.013892497762604039
random,42,50,0.4837110136804188,0.6547703400150761,-0.24309171944866703,1.376203938753253,3.2737302224587013,2.6086215430987103e-05
random,42,60,0.5259454375887195,0.7159422852482167,-0.48621350729091684,2.01271665044893,6.557265450268231,-3.0118845367529525
random,42,70,0.504066550672121,0.7034082883596218,-0.4346307637969917,1.9510057637717206,6.524131369470904,-2.9714426003184307
random,42,80,0.48965022872344144,0.6886827362402482,-0.3751927350969966,1.8658834913293052,6.257372887208956,-2.653313716241107
random,42,90,0.48514163057484244,0.6858518681840136,-0.36391036134773835,1.8478534071165804,6.199857072881551,-2.5864621402627286
random,42,100,0.4996988928103106,0.6456194497807508,-0.2085883050968802,1.3733885656717557,3.242335163402114,0.019113611845280043
random,42,110,0.47018557068902955,0.6090874531848463,-0.07568344194580745,1.2965951585064959,3.194561571829644,0.04780604176556458
random,42,120,0.4671248872612815,0.6039419226194859,-0.05758560557243908,1.289323539995096,3.186798783166003,0.05242808419744527
random,42,130,0.45911692313187596,0.5991394411508356,-0.040832864586531015,1.2774506179536078,3.171183590445626,0.061691465978551574
random,42,140,0.4605186557937175,0.6045528932761596,-0.05972647569454281,1.28405981254674,3.1779464729963722,0.05768511526717435
random,42,150,0.44168131875515604,0.5839231939012016,0.011363525895005444,1.2369723582818128,3.167999298737672,0.06357489397949923
random,42,160,0.43769992521573897,0.5795497841036633,0.02611724978051677,1.2252176593301036,3.1704284814447705,0.062138265000985515
random,42,170,0.43739535953278647,0.577931278278415,0.03154916943880737,1.22736700137082,3.164229951513758,0.0658019219435153
random,42,180,0.44667706792884937,0.5848278895283354,0.008297684425137675,1.2057278063343801,3.214879404446648,0.03565536617122289
random,42,190,0.4453152674869035,0.5842784073539253,0.010160340977869331,1.203739149015553,3.2172670479991576,0.03422242516276286
random,42,200,0.4463278529269095,0.5848066433858881,0.00836973798591134,1.2062538543510977,3.2187436461360717,0.03333571442339578
uncertainty,42,30,0.4839253648852871,0.6441473729383458,-0.20308318422750338,1.3574588580692513,3.2503602017382325,0.01425205870334012
uncertainty,42,40,0.4872587832850413,0.6495359927387534,-0.22329618131018059,1.3711533356910421,3.2503482823150147,0.014259288379207202
uncertainty,42,50,0.48693425176073774,0.6404107615631721,-0.189165823884208,1.3645448379971632,3.225901776086973,0.029031424646025483
uncertainty,42,60,0.4737968532021151,0.6311437581738777,-0.15499940315577287,1.3320656133577358,3.2286010020666724,0.027405857427527325
uncertainty,42,70,0.4352319353762099,0.6056399633016691,-0.06354097273839554,1.242985930680631,3.2186339485910618,0.03340160279703164
uncertainty,42,80,0.43852815500503145,0.6105110152859013,-0.0807175028382161,1.2537709069049743,3.2195967234715024,0.03282324821762572
uncertainty,42,90,0.41454966486190886,0.5927009725470933,-0.018583077130049697,1.1984422007591111,3.2101993897486665,0.03846098437224699
uncertainty,42,100,0.41563517243483156,0.5949081858426877,-0.026183592093177888,1.199773596292352,3.2134311450907322,0.03652401869793631
uncertainty,42,110,0.4025785198799385,0.5844193256936301,0.009682817316206238,1.1685212775087397,3.2146861001049705,0.03577133095674012
uncertainty,42,120,0.4047583429071099,0.5880553326738426,-0.0026781753788900353,1.1721971708070373,3.223219914080236,0.03064518817011308
uncertainty,42,130,0.4051749973136892,0.5871439168738651,0.0004274798069185959,1.1738641114234412,3.222326564686603,0.031182447525498702
uncertainty,42,140,0.40191787241859794,0.5851136049665656,0.007328462949073522,1.1634304211992534,3.225621870097574,0.029199915906878204
uncertainty,42,150,0.3963017632288854,0.573247166438148,0.04718406849896162,1.1522530730727896,3.2016910299715247,0.04355118420871151
uncertainty,42,160,0.3887540207376481,0.566174694456448,0.07054988490401348,1.1281211020871713,3.211620434499501,0.037609515518228664
uncertainty,42,170,0.40392602690493534,0.5657799712175473,0.07184541321022575,1.156978516940021,3.198166022896978,0.045656092418018046
uncertainty,42,180,0.4063333299839163,0.5653005730783205,0.07341763949604185,1.1606515250889016,3.194161105310413,0.04804475865392899
uncertainty,42,190,0.4089065014712701,0.56808720694039,0.06425999852620934,1.1645934882057276,3.2124989812488947,0.0370829148852857
uncertainty,42,200,0.40989369652059204,0.5709862668328122,0.054685101704927463,1.1650977558688809,3.2141427136246357,0.036097275403072504
