Strategy,Samples Used,Log MAE mean,Log MAE std,Log RMSE mean,Log RMSE std,Log R2 mean,Log R2 std,Original MAE mean,Original MAE std,Original RMSE mean,Original RMSE std,Original R2 mean,Original R2 std
geographic,30,0.47372495299112566,0.11505984522545057,0.6540069137570391,0.1222661385182425,-0.2792050268213154,0.5548217466975447,1.4116549586960372,0.4628823386527614,3.4509355249439615,0.4650224948527256,-0.12931902461363523,0.34801799216515017
hybrid,30,0.47372495299112566,0.11505984522545057,0.6540069137570391,0.1222661385182425,-0.2792050268213154,0.5548217466975447,1.4116549586960372,0.4628823386527614,3.4509355249439615,0.4650224948527256,-0.12931902461363523,0.34801799216515017
random,30,0.47372495299112566,0.11505984522545057,0.6540069137570391,0.1222661385182425,-0.2792050268213154,0.5548217466975447,1.4116549586960372,0.4628823386527614,3.4509355249439615,0.4650224948527256,-0.12931902461363523,0.34801799216515017
uncertainty,30,0.47372495299112566,0.11505984522545057,0.6540069137570391,0.1222661385182425,-0.2792050268213154,0.5548217466975447,1.4116549586960372,0.4628823386527614,3.4509355249439615,0.4650224948527256,-0.12931902461363523,0.34801799216515017
geographic,40,0.409329304707,0.02128424766552827,0.5930364937826358,0.01886061050534792,-0.020664900377100625,0.06481206655590759,1.1887580254913441,0.05941978539220781,3.31251228275377,0.06986706898256516,-0.02421642923232754,0.04324113400555863
hybrid,40,0.41343059806197796,0.025976961432602384,0.5928518222817033,0.02176368209085807,-0.020337666851969173,0.07537597310512921,1.1957677489115233,0.06955885046605374,3.300179434827684,0.07843394091996407,-0.016713819081876267,0.048480575547527854
random,40,0.4553272013401929,0.09309539670676008,0.6342684997445737,0.0899021269681213,-0.18755583821807914,0.38131394754076137,1.3411250012720382,0.32412364094223195,3.3895669368060686,0.24800384508756407,-0.07715636167208215,0.1656384093516463
uncertainty,40,0.4877395541864244,0.14164058848798822,0.6752625051567454,0.17258261488725457,-0.3998438872691451,0.8660328368257214,1.5367581178251677,0.8125354388041223,3.749933725014595,1.3065697741812317,-0.45540334116947295,1.3118025563785178
geographic,50,0.4048921798859289,0.02168637591040851,0.5865639449984922,0.019268285098092218,0.0014323858119500653,0.06467952260147868,1.173037033405267,0.065482364331531,3.3034991255873125,0.04662238149685823,-0.018425188819035054,0.028556234049306992
hybrid,50,0.40809275960364066,0.021626353499765456,0.5887164235050063,0.02152252315580335,-0.006142659767346714,0.07410898383788499,1.1819597669593873,0.05924732553765068,3.296961776775106,0.06147939687023894,-0.014534010322772562,0.03788884649656776
random,50,0.4371682308339877,0.07270567632753282,0.6141962662437119,0.059027429648162995,-0.10289636906859716,0.22949400868305156,1.2669724779814937,0.205644587688963,3.2854793272161174,0.05470808532951325,-0.007415747590967192,0.03334091333502809
uncertainty,50,0.476588910068258,0.10903708822652254,0.6463081603990609,0.1256503045274368,-0.25236795747158547,0.5639115992315704,1.4058349945058908,0.4640598589126175,3.429632511973183,0.5352591613248673,-0.12154245986503454,0.40787580069389034
geographic,60,0.4053818953564045,0.023698557836067932,0.5900091530687701,0.019953491039763602,-0.010391038726217083,0.0678893264853367,1.1796693045532274,0.07102503867949797,3.3028531665535334,0.043635338069472604,-0.01800437810916492,0.026680980891105474
hybrid,60,0.40628626881747687,0.027674774539205096,0.5913624126459619,0.025413295904849555,-0.015672870757467795,0.08767141530889934,1.1829476346292815,0.08256258240224547,3.304827360453435,0.04781020461319245,-0.01925358052246996,0.029589232797604115
random,60,0.44691793354771736,0.07487191798302421,0.62418859024731,0.06484946515358528,-0.1406580036176855,0.24396089362980283,1.3759520927485887,0.31890589365034516,3.7729741506545436,1.1039864801014407,-0.4305681305030317,0.9873303762003828
uncertainty,60,0.46726254384828597,0.09476384875467204,0.6368723856630873,0.11251651857811328,-0.20909842218851296,0.492984482247943,1.376947316183713,0.4113261110756142,3.4147882975275197,0.49323501226454797,-0.10843321659318209,0.36918003410560374
geographic,70,0.40755345859395425,0.02727053819862606,0.5948999573028286,0.0349266505881217,-0.02933853402976927,0.12424284772257338,1.196829161192425,0.1103683521376783,3.283186973521007,0.16745296512700655,-0.008114138083896095,0.09823518405835073
hybrid,70,0.39453506698850405,0.02596427296763158,0.5856830192981035,0.022270791342711347,0.004101136784898507,0.07592196019731534,1.1616425890018882,0.07871707578162941,3.3024861305682562,0.04008795485925217,-0.017753230586861755,0.024600373918158717
random,70,0.4288842424699254,0.05477824675033482,0.6040783850548286,0.049685771028312495,-0.06450575231595335,0.1810946398945094,1.3205552937179252,0.2857135567259571,3.76420981019391,1.1221634738583328,-0.42780256415254103,0.994817271687033
uncertainty,70,0.45080702130598677,0.0771699725252079,0.6248487993647858,0.09862592554221582,-0.1574580297885196,0.4180997916957803,1.3328758992965355,0.3591661258234623,3.405958710877536,0.4693248059237983,-0.10088134283957588,0.3480908328211372
