Model,Log MAE,Log RMSE,Log R2,Original MAE,Original RMSE,Original R2,Random State,Block Size
Gaussian Process,0.34151141192517076,0.45453250053684224,0.19424053179341538,0.7640542836794999,1.6863631365710519,0.16140750697263573,0,1.0
Random Forest,0.35618865803876537,0.4745113555677168,0.12184990375576099,0.7981310688210373,1.6996788601234198,0.1481119700422353,0,1.0
Linear Regression,0.41517025019791176,0.5300491743218583,-0.09574086291242967,0.9178183345490382,1.8268140064424674,0.015904069996977466,0,1.0
Gaussian Process,0.32173980600397245,0.49995851364012395,0.3077141310308008,1.082495531954479,4.793688952032891,0.02745806800814299,1,1.0
Random Forest,0.3199314053527176,0.5044889335560572,0.29511086198200664,1.0865825177260124,4.798503265357698,0.025503634684675536,1,1.0
Linear Regression,0.40642035336201476,0.5826927778634962,0.05963425420380919,1.2405002692357734,4.877910747136363,-0.007015913241884553,1,1.0
Gaussian Process,0.40110558222668685,0.4970866576278882,0.08595903909468128,0.9077466401611101,1.5635135314654223,0.18340746992006063,2,1.0
Random Forest,0.426897614444912,0.520516844078757,-0.0022383609648710667,0.9614490044711508,1.5403352754857491,0.20743911090153722,2,1.0
Linear Regression,0.4563232406523772,0.5665637502940455,-0.18740538424434594,1.0199319430475284,1.720040109798145,0.011721691635978138,2,1.0
Random Forest,0.3937894280206992,0.6418957948751812,0.1582187864279344,1.699910613499061,6.402214169298463,-0.01799154862929675,3,1.0
Gaussian Process,0.4054341585258394,0.664199207403615,0.09870518215201818,1.7232805072664505,6.449012569310138,-0.032928410585690404,3,1.0
Linear Regression,0.4573242259067715,0.7176050424630792,-0.05206150852411384,1.8140572869049907,6.497342648284432,-0.048468331336808834,3,1.0
Gaussian Process,0.3938712039154056,0.5709831341887325,0.358917028124084,2.15531557819015,17.56075024971785,0.015405150373616894,4,1.0
Random Forest,0.3882762484557214,0.5797414699051219,0.33909898959682183,2.1543430254598728,17.639976076358604,0.006501054430278708,4,1.0
Linear Regression,0.4265393744747332,0.6247970267364783,0.2323812231538691,2.229140105548739,17.68711029455434,0.0011846800680256342,4,1.0
Gaussian Process,0.4193886114965294,0.6434623643678846,0.28276162953183603,2.9670903218854634,21.95687406173898,0.008802908524073172,5,1.0
Random Forest,0.43391457262414146,0.6636772064854918,0.2369886134169472,2.9913003851838416,22.049260184761504,0.00044420428030655934,5,1.0
Linear Regression,0.4527133338900667,0.7005522489219189,0.14984467868112694,3.041995060807015,22.114495433872378,-0.005479144700955452,5,1.0
Gaussian Process,0.4204442154846291,0.6153648673185361,0.3253284006044648,2.729804565347904,20.787660142986805,0.013340840842935409,10,1.0
Random Forest,0.41762083136603795,0.629511885658346,0.2939509028756627,2.7231784369669327,20.907740722918465,0.001908981660974085,10,1.0
Linear Regression,0.4851558035079023,0.6802690462095317,0.1755041891647463,2.8553840049186796,20.9487345520807,-0.0020087715616303736,10,1.0
Random Forest,0.318512384584241,0.49225458187222526,0.11979448870970888,0.8947872060392362,3.607727982718201,0.009347860593952095,20,1.0
Gaussian Process,0.32157614059755546,0.4943455327918193,0.11230090523429936,0.9082779648192253,3.611591183104229,0.007225119194106289,20,1.0
Linear Regression,0.36107587340826225,0.525168813167436,-0.0018493132596872908,0.9710468670958129,3.6415384092561687,-0.00930727116686536,20,1.0
Gaussian Process,0.4886277945698032,0.7248734761631255,0.21715696364538883,2.930317004725957,18.639063081017117,0.002363275836955392,30,1.0
Random Forest,0.5065854884269898,0.7498094941132475,0.16237015011054423,2.9715886905893902,18.72865008704174,-0.007249876286629098,30,1.0
Linear Regression,0.4682861648229229,0.7574469840126586,0.14521920396668808,2.9100885609713645,18.776324914268155,-0.012384425011898514,30,1.0
Gaussian Process,0.34713869443992923,0.5000975192204429,0.2748387696538348,1.0466064982585717,3.023226135109985,0.1472059494510719,42,1.0
Random Forest,0.3513567217853975,0.5166021251925937,0.226184270205951,1.0733579386396062,3.0863158682494904,0.11124176299328703,42,1.0
Linear Regression,0.41328107813645865,0.5758759494184521,0.03842523093792094,1.1754994691615992,3.2101816911143164,0.03847158675451223,42,1.0
